ZIP code,Complaint ID
281XX,2473056
923XX,2438241
604XX,2466048
300XX,2464371
967XX,2465464
602XX,2466018
405XX,2465308
770XX,2467020
310XX,2372030
770XX,2467971
532XX,2372172
891XX,2465489
322XX,2447645
761XX,2469048
657XX,2466893
936XX,2470426
641XX,2469616
371XX,2464509
917XX,2469253
344XX,2465106
851XX,2465883
300XX,2464761
300XX,2466280
112XX,2470362
100XX,2472478
166XX,2465922
321XX,2464416
560XX,2466833
890XX,2467228
373XX,2470556
330XX,2464953
122XX,2470081
402XX,2464359
316XX,2469366
283XX,2464925
210XX,2417639
015XX,2372295
980XX,2467508
310XX,2465479
334XX,2446845
712XX,2468272
750XX,2466355
980XX,2466404
152XX,2466828
770XX,2466873
840XX,2467610
303XX,2465395
091XX,2471864
337XX,2467775
113XX,2465137
752XX,2469011
600XX,2468168
303XX,2466940
329XX,2467107
840XX,2464839
836XX,2465337
921XX,2464871
939XX,2467408
662XX,2468324
840XX,2472684
382XX,2471685
200XX,2466282
200XX,2474501
065XX,2466044
344XX,2465114
630XX,2467211
381XX,2467291
300XX,2445768
498XX,2472703
752XX,2464388
028XX,2371557
297XX,2372280
760XX,2466749
959XX,2470820
207XX,2466286
856XX,2473339
030XX,2348420
336XX,2469074
981XX,2465017
302XX,2471982
166XX,2465886
145XX,2464602
402XX,2464397
770XX,2372253
371XX,2442142
402XX,2464413
303XX,2469597
967XX,2470987
278XX,2466162
843XX,2464679
070XX,2447465
757XX,2469703
370XX,2226743
330XX,2466717
774XX,2471094
430XX,2471075
336XX,2465148
930XX,2469285
393XX,2437751
928XX,2466242
774XX,2465400
853XX,2470861
700XX,2464862
336XX,2465483
863XX,2468915
227XX,2372286
963XX,2442651
770XX,2465586
274XX,2465126
087XX,2467110
554XX,2469372
740XX,2474913
337XX,2466799
741XX,2466993
302XX,2464325
761XX,2469391
727XX,2466783
309XX,2466945
630XX,2425928
284XX,2470046
104XX,2466067
782XX,2429840
319XX,2465146
291XX,2372218
972XX,2372201
922XX,2464657
773XX,2468286
069XX,2473829
330XX,2417605
283XX,2469546
381XX,2413318
272XX,2472725
604XX,2464336
483XX,2470675
068XX,2470598
142XX,2469245
370XX,2464779
301XX,2465480
291XX,2470102
209XX,2468029
366XX,2467208
774XX,2467210
451XX,2467186
483XX,2404254
334XX,2465121
302XX,2466709
334XX,2464904
334XX,1920112
303XX,2473329
380XX,2464564
112XX,2464827
393XX,2469243
294XX,2468127
300XX,2466308
018XX,2471163
373XX,2465016
371XX,2466281
606XX,2466198
301XX,2465285
923XX,2464915
726XX,2467618
900XX,2469317
951XX,2440444
773XX,2465316
379XX,2474813
750XX,2475122
380XX,2464547
787XX,2466328
166XX,2465885
845XX,2469263
325XX,2465014
925XX,2469234
750XX,2475252
685XX,2464636
971XX,2467843
087XX,2467504
402XX,2464339
752XX,2464400
750XX,2466821
770XX,2469333
319XX,2465138
776XX,2467010
770XX,2464335
166XX,2465884
890XX,2467263
810XX,2443662
774XX,2372105
305XX,2468888
329XX,2467092
301XX,2464449
321XX,2469923
894XX,2446957
328XX,2467139
330XX,2467212
082XX,2143462
482XX,2465510
212XX,2469384
223XX,2467260
940XX,2465491
952XX,2467373
444XX,2473512
482XX,2466353
891XX,2466032
212XX,2468074
781XX,2466590
290XX,2465995
545XX,2470624
330XX,2468130
781XX,2469910
156XX,2403577
303XX,2467445
810XX,2472240
321XX,2466701
950XX,2464866
071XX,2467502
402XX,2464597
935XX,2442624
913XX,2445559
631XX,2465082
351XX,2333497
936XX,2469014
604XX,2469299
381XX,2467571
780XX,2464539
503XX,2471040
336XX,2466060
212XX,2467579
368XX,2466059
483XX,2471072
303XX,2465272
189XX,2464373
940XX,2465252
850XX,2465218
600XX,2467090
356XX,2465519
925XX,1814579
945XX,2475243
110XX,2447564
750XX,2464618
300XX,2471186
028XX,2468085
291XX,2465945
752XX,2464496
553XX,2465098
373XX,2465528
900XX,2466100
809XX,2467345
331XX,2465270
852XX,2467944
405XX,2466432
975XX,2445661
288XX,2465821
704XX,2425346
328XX,2469279
334XX,2465497
750XX,2466238
770XX,2469036
469XX,2371996
373XX,2464675
741XX,2465463
024XX,2464372
302XX,2468897
222XX,2464475
231XX,2465828
891XX,2465815
236XX,2467066
449XX,2467136
553XX,2467181
201XX,2358908
463XX,2466976
497XX,2467111
107XX,2470911
444XX,2468914
378XX,2418470
388XX,2472739
344XX,2464558
921XX,2443924
300XX,2464822
604XX,2470335
809XX,2464567
480XX,2464376
221XX,2464324
212XX,2466938
926XX,2467940
806XX,2466529
060XX,2472693
481XX,2471249
841XX,2469233
532XX,2465990
300XX,2375249
850XX,2470716
208XX,2465644
333XX,2464495
190XX,2465836
334XX,2464994
191XX,2372010
207XX,2464967
480XX,2470569
982XX,2467046
232XX,2421666
770XX,2469690
330XX,2419608
272XX,2464735
752XX,2469485
402XX,2472701
156XX,2471526
770XX,2403973
949XX,2466366
492XX,2465191
705XX,2466483
604XX,2468895
853XX,2445562
922XX,2465296
303XX,2465576
330XX,2425551
381XX,2465846
321XX,2464462
921XX,2467357
761XX,2465918
299XX,2467400
402XX,2464392
900XX,2464861
600XX,2467551
972XX,2465275
117XX,2468124
075XX,2466937
482XX,2465834
088XX,2465364
201XX,2466062
770XX,2439185
064XX,2466756
330XX,2473646
615XX,2466427
321XX,2465607
263XX,2466120
071XX,2464910
201XX,2466443
483XX,2470632
601XX,2465994
300XX,2465997
774XX,2467105
959XX,2465482
112XX,2469210
553XX,2465996
200XX,2466154
913XX,2466874
483XX,2470636
761XX,2464571
330XX,2469726
334XX,2467021
945XX,2469261
330XX,2466271
100XX,2472710
463XX,2466977
984XX,2468078
332XX,2446864
087XX,2466735
335XX,2469617
070XX,2464997
077XX,2431410
532XX,2466000
957XX,2465136
303XX,2472566
080XX,2468296
287XX,2467140
751XX,2474923
762XX,2430649
402XX,2464399
309XX,2469750
222XX,2464474
730XX,2466279
196XX,2473278
330XX,2427173
303XX,2467446
212XX,2470528
802XX,2464669
210XX,2471916
443XX,2466896
606XX,2464748
275XX,2468921
488XX,1621221
917XX,2467447
193XX,2331751
607XX,2466388
112XX,2468303
